2020-01-30/21:21:29		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-01-30/21:46:31		 wafer_29012020_050617.csv: File Transformed successfully!!
2020-01-30/21:47:57		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-01-30/21:47:57		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-01-30/21:47:57		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-01-30/21:47:58		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-01-30/21:47:59		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-01-30/21:47:59		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-01-30/21:48:00		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-01-30/21:48:00		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-01-30/21:48:01		 wafer_29012020_050617.csv: File Transformed successfully!!
2020-01-30/21:49:27		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-01-30/21:49:28		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-01-30/21:49:28		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-01-30/21:49:28		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-01-30/21:49:29		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-01-30/21:49:29		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-01-30/21:49:30		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-01-30/21:49:31		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-01-30/21:49:31		 wafer_29012020_050617.csv: File Transformed successfully!!
2020-01-30/21:50:24		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-01-30/21:50:25		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-01-30/21:50:25		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-01-30/21:50:26		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-01-30/21:50:27		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-01-30/21:50:27		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-01-30/21:50:28		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-01-30/21:50:29		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-01-30/21:50:29		 wafer_29012020_050617.csv: File Transformed successfully!!
2020-01-30/21:52:21		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-01-30/21:52:22		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-01-30/21:52:22		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-01-30/21:52:23		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-01-30/21:52:24		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-01-30/21:52:24		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-01-30/21:52:25		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-01-30/21:52:26		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-01-30/21:52:27		 wafer_29012020_050617.csv: File Transformed successfully!!
2020-01-30/21:56:38		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-01-30/21:56:38		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-01-30/21:56:39		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-01-30/21:56:40		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-01-30/21:56:40		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-01-30/21:56:41		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-01-30/21:56:42		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-01-30/21:56:43		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-01-30/21:56:43		 wafer_29012020_050617.csv: File Transformed successfully!!
2020-01-30/21:59:54		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-01-30/21:59:55		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-01-30/21:59:55		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-01-30/21:59:56		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-01-30/21:59:56		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-01-30/21:59:56		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-01-30/21:59:57		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-01-30/21:59:58		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-01-30/21:59:58		 wafer_29012020_050617.csv: File Transformed successfully!!
2020-01-30/22:04:46		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-01-30/22:04:47		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-01-30/22:04:47		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-01-30/22:04:48		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-01-30/22:04:48		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-01-30/22:04:49		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-01-30/22:04:49		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-01-30/22:04:50		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-01-30/22:04:50		 wafer_29012020_050617.csv: File Transformed successfully!!
2020-01-30/22:46:37		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-01-30/22:46:37		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-01-30/22:46:37		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-01-30/22:46:37		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-01-30/22:46:38		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-01-30/22:46:38		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-01-30/22:46:38		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-01-30/22:46:39		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-01-30/22:46:39		 wafer_29012020_050617.csv: File Transformed successfully!!
